T,hard sphere,square well,lennard jones
371,4.935218096479841e+25,6.156221295482122e+24,-2.309984323824432e+24
372,4.935218096479841e+25,6.291388142761308e+24,-2.193519298521972e+24
373,4.935218096479841e+25,6.425717541588712e+24,-2.0777703111319962e+24
374,4.935218096479841e+25,6.559217204209515e+24,-1.962731070244028e+24
375,4.935218096479841e+25,6.691894748957109e+24,-1.8483953572114178e+24
376,4.935218096479841e+25,6.823757701671932e+24,-1.7347570251063603e+24
377,4.935218096479841e+25,6.954813497094092e+24,-1.621809997692365e+24
378,4.935218096479841e+25,7.085069480231488e+24,-1.5095482684146964e+24
379,4.935218096479841e+25,7.214532907703172e+24,-1.3979658994075645e+24
380,4.935218096479841e+25,7.343210949058918e+24,-1.287057020519022e+24
381,4.935218096479841e+25,7.471110688075295e+24,-1.1768158283511509e+24
382,4.935218096479841e+25,7.598239124028615e+24,-1.0672365853178175e+24
383,4.935218096479841e+25,7.724603172945496e+24,-9.583136187173338e+23
384,4.935218096479841e+25,7.850209668831401e+24,-8.500413198214451e+23
385,4.935218096479841e+25,7.975065364877473e+24,-7.424141429788897e+23
386,4.935218096479841e+25,8.099176934646269e+24,-6.354266047346913e+23
387,4.935218096479841e+25,8.22255097323671e+24,-5.2907328296370834e+23
388,4.935218096479841e+25,8.345193998428737e+24,-4.233488160184932e+23
389,4.935218096479841e+25,8.467112451808227e+24,-3.1824790189178435e+23
390,4.935218096479841e+25,8.588312699872041e+24,-2.1376529739219747e+23
391,4.935218096479841e+25,8.708801035114362e+24,-1.0989581733444766e+23
392,4.935218096479841e+25,8.828583677094053e+24,-6.634333741707709e+21
393,4.935218096479841e+25,8.947666773483838e+24,9.602422493765037e+22
394,4.935218096479841e+25,9.066056401101196e+24,1.980848746018945e+23
395,4.935218096479841e+25,9.183758566922091e+24,2.9955257625369353e+23
396,4.935218096479841e+25,9.300779209076939e+24,4.004322367466339e+23
397,4.935218096479841e+25,9.417124197830055e+24,5.0072870951932646e+23
398,4.935218096479841e+25,9.532799336542176e+24,6.004467953172723e+23
399,4.935218096479841e+25,9.647810362616919e+24,6.995912429035414e+23
400,4.935218096479841e+25,9.762162948431084e+24,7.981667497577223e+23
401,4.935218096479841e+25,9.875862702249593e+24,8.96177962763696e+23
402,4.935218096479841e+25,9.988915169124793e+24,9.936294788864983e+23
403,4.935218096479841e+25,1.0101325831780896e+25,1.0905258458381987e+24
404,4.935218096479841e+25,1.0213100111483633e+25,1.1868715627333428e+24
405,4.935218096479841e+25,1.032424336889533e+25,1.282671080733831e+24
406,4.935218096479841e+25,1.043476090491613e+25,1.3779288036834383e+24
407,4.935218096479841e+25,1.0544657961510708e+25,1.4726490887329586e+24
408,4.935218096479841e+25,1.0653939722522056e+25,1.5668362469545444e+24
409,4.935218096479841e+25,1.0762611314471297e+25,1.6604945439469864e+24
410,4.935218096479841e+25,1.0870677807344643e+25,1.7536282004315355e+24
411,4.935218096479841e+25,1.0978144215367521e+25,1.8462413928380035e+24
412,4.935218096479841e+25,1.1085015497765805e+25,1.9383382538821012e+24
413,4.935218096479841e+25,1.1191296559514954e+25,2.029922873133493e+24
414,4.935218096479841e+25,1.1296992252076815e+25,2.1209992975752838e+24
415,4.935218096479841e+25,1.1402107374124418e+25,2.2115715321545618e+24
416,4.935218096479841e+25,1.150664667225536e+25,2.3016435403248913e+24
417,4.935218096479841e+25,1.1610614841693325e+25,2.3912192445797005e+24
418,4.935218096479841e+25,1.171401652697863e+25,2.480302526978362e+24
419,4.935218096479841e+25,1.18168563226475e+25,2.568897229663437e+24
420,4.935218096479841e+25,1.191913877390069e+25,2.6570071553705276e+24
421,4.935218096479841e+25,1.2020868377261178e+25,2.7446360679300516e+24
422,4.935218096479841e+25,1.2122049581221626e+25,2.831787692761655e+24
423,4.935218096479841e+25,1.2222686786881559e+25,2.918465717360619e+24
424,4.935218096479841e+25,1.2322784348574284e+25,3.0046737917775494e+24
425,4.935218096479841e+25,1.2422346574484098e+25,3.0904155290904767e+24
426,4.935218096479841e+25,1.2521377727253656e+25,3.1756945058697114e+24
427,4.935218096479841e+25,1.2619882024581923e+25,3.2605142626359334e+24
428,4.935218096479841e+25,1.271786363981279e+25,3.3448783043116195e+24
429,4.935218096479841e+25,1.2815326702514128e+25,3.4287901006649726e+24
430,4.935218096479841e+25,1.2912275299048402e+25,3.512253086748198e+24
431,4.935218096479841e+25,1.3008713473133944e+25,3.595270663328478e+24
432,4.935218096479841e+25,1.3104645226397781e+25,3.6778461973129164e+24
433,4.935218096479841e+25,1.3200074518919813e+25,3.7599830221673e+24
434,4.935218096479841e+25,1.3295005269768588e+25,3.841684438328241e+24
435,4.935218096479841e+25,1.3389441357528888e+25,3.922953713609654e+24
436,4.935218096479841e+25,1.3483386620821234e+25,4.0037940836030866e+24
437,4.935218096479841e+25,1.3576844858813382e+25,4.0842087520722393e+24
438,4.935218096479841e+25,1.3669819831723926e+25,4.1642008913415813e+24
439,4.935218096479841e+25,1.3762315261318554e+25,4.243773642679459e+24
440,4.935218096479841e+25,1.3854334831398347e+25,4.3229301166757023e+24
441,4.935218096479841e+25,1.3945882188280946e+25,4.4016733936132467e+24
442,4.935218096479841e+25,1.4036960941274378e+25,4.4800065238351183e+24
